x,y,z,freq
0,7.3584,0.443745,29.8343
0,7.58778,1.22633,30.2026
0,8.41666,1.39588,30.5709
0,8.86084,1.14395,30.9392
0,8.80145,0.711611,31.3076
0,9.39698,0.41912,31.6759
0,7.22956,1.85896,32.0442
0,6.01552,1.05695,32.4125
0,6.98991,0.294455,32.7808
0,5.68899,0.883035,33.1492
0,5.25202,0.361182,33.5175
0,5.77737,0.0761976,33.8858
0,3.87401,0.34193,34.2541
0,1.92144,1.45891,34.6225
0,1.28508,0.149724,34.9908
0,0.843935,1.57034,35.3591
0,1.99578,1.07367,35.7274
0,0.223084,0.682704,36.0958
0,0.830033,1.31869,36.4641
0,1.55959,0.699937,36.8324
0,2.39543,0.344649,37.2007
0,2.98143,0.0249483,37.5691
0,3.74416,0.315985,37.9374
0,3.879,0.69584,38.3057
0,2.72558,1.32365,38.674
0,6.51766,0.949955,39.0424
0,5.14258,1.03532,39.4107
0,6.20479,1.27548,39.779
0,5.38942,1.0405,40.1473
0,7.41409,0.121446,40.5157
0,5.98113,0.640081,40.884
0,5.88795,0.482019,41.2523
0,6.14502,0.429532,41.6206
0,4.94961,0.043137,41.989
0,3.535,1.57701,42.3573
0,2.52027,1.24077,42.7256
0,2.45897,0.877,43.0939
0,3.12941,0.162331,43.4622
0,1.6074,0.327466,43.8306
0,1.17911,0.128216,44.1989
0,0.0651587,0.510276,44.5672
0,0.712632,0.533832,44.9355
0,2.10612,0.152126,45.3039
0,1.91418,0.170881,45.6722
0,3.90751,0.660762,46.0405
0,4.73587,0.541626,46.4088
0,5.25451,0.310647,46.7772
0,3.44909,2.17472,47.1455
0,5.55432,5.32434,47.5138
0,10.5242,1.38277,47.8821
0,7.12737,2.79631,48.2505
0,3.10609,0.217267,48.6188
0,0.547165,0.419977,48.9871
0,4.70113,0.207421,49.3554
0,6.84103,1.19952,49.7238
0,7.54337,0.904491,50.0921
0,2.34273,0.0416719,50.4604
0,0.213082,0.778239,50.8287
0,4.50131,0.271057,51.1971
0,3.08126,0.73895,51.5654
0,2.56621,0.789955,51.9337
0,1.07212,1.3869,52.302
0,0.472115,0.328569,52.6703
0,0.154541,0.321474,53.0387
0,0.940613,0.843429,53.407
0,1.85968,0.71416,53.7753
0,3.5432,0.554415,54.1436
0,3.55842,0.273053,54.512
0,4.4268,0.76186,54.8803
0,4.47678,0.421501,55.2486
0,5.72576,0.40193,55.6169
0,5.54103,0.14021,55.9853
0,7.08925,0.191979,56.3536
0,6.24809,0.456591,56.7219
0,7.58232,0.319941,57.0902
0,10.0045,0.800144,57.4586
0,8.26549,1.52312,57.8269
0,9.9944,0.549553,58.1952
0,9.90261,0.338531,58.5635
0,15.1465,0.460522,58.9319
0,17.6946,0.547334,59.3002
0,32.5079,0.732086,59.6685
0,58.7288,5.40457,60.0368
0,92.2411,7.88203,60.4052
0,17.5281,0.240585,60.7735
0,2.12056,0.528358,61.1418
0,0.289768,0.964717,61.5101
0,1.14784,0.25983,61.8785
0,0.144493,0.112741,62.2468
0,0.389138,0.577653,62.6151
0,0.474766,0.766552,62.9834
0,0.614249,0.111473,63.3517
0,0.345447,0.454295,63.7201
0,0.935954,0.166772,64.0884
0,1.93831,0.0151621,64.4567
0,2.50274,0.115069,64.8251
0,3.28371,0.190834,65.1934
0,3.60602,0.313182,65.5617
0,3.33261,0.543435,65.93
0,3.40523,0.13433,66.2983
0,4.56186,0.130184,66.6667
0,3.83677,1.37759,67.035
0,4.50842,0.234602,67.4033
0,3.57733,0.84361,67.7716
0,3.80754,0.68322,68.14
0,3.98588,1.0216,68.5083
0,4.7597,0.129395,68.8766
0,4.17174,0.242511,69.2449
0,0.315223,0.861116,69.6133
0,3.58683,1.03821,69.9816
0,3.64875,0.279948,70.3499
0,2.37329,0.4477,70.7182
0,1.25013,0.811978,71.0866
0,0.66845,0.89009,71.4549
